Department,Date,Revenue,Expense,PatientVolume,BedOccupancy,ALOS,PatientSatisfaction,ReadmissionRate
Neurology,01-07-2026,369836.06,251152.4,189,67.8,4.8,75.6,6
Neurology,01-07-2026,369836.06,140335.85,189,67.8,4.8,75.6,6
Neurology,01-07-2026,369836.06,88057.65,189,67.8,4.8,75.6,6
Neurology,01-08-2026,1320688.05,622061.03,197,70.7,4.7,78.3,5.3
Neurology,01-08-2026,376340.43,260648.24,197,70.7,4.7,78.3,5.3
Neurology,01-08-2026,376340.43,242748.53,197,70.7,4.7,78.3,5.3
Neurology,01-08-2026,376340.43,124993.27,197,70.7,4.7,78.3,5.3
Neurology,01-08-2026,376340.43,98984.3,197,70.7,4.7,78.3,5.3
Neurology,01-09-2026,1413096.06,673434.21,191,67,5.3,75.4,6.2
Neurology,01-09-2026,402883.48,263447.24,191,67,5.3,75.4,6.2
Neurology,01-09-2026,402883.48,266326.87,191,67,5.3,75.4,6.2
Neurology,01-09-2026,402883.48,138735.43,191,67,5.3,75.4,6.2
Neurology,01-09-2026,402883.48,106673.19,191,67,5.3,75.4,6.2
Orthopedics,01-10-2025,1205384.88,718381.19,185,60.5,5.6,82.8,3.9
Orthopedics,01-10-2025,401906.93,305043.27,185,60.5,5.6,82.8,3.9
Orthopedics,01-10-2025,401906.93,277825.38,185,60.5,5.6,82.8,3.9
Orthopedics,01-10-2025,401906.93,147371.03,185,60.5,5.6,82.8,3.9
Orthopedics,01-10-2025,401906.93,113576.38,185,60.5,5.6,82.8,3.9
Orthopedics,01-11-2025,1413515.99,666237.56,205,59.6,5.7,78,3.6
Orthopedics,01-11-2025,415104.71,280185.42,205,59.6,5.7,78,3.6
Orthopedics,01-11-2025,415104.71,256851.83,205,59.6,5.7,78,3.6
Orthopedics,01-11-2025,415104.71,158783.78,205,59.6,5.7,78,3.6
Orthopedics,01-11-2025,415104.71,105459.16,205,59.6,5.7,78,3.6
Orthopedics,01-12-2025,1268774.05,640049.84,211,59.8,6.1,79.4,3.8
Orthopedics,01-12-2025,414067.68,294984.79,211,59.8,6.1,79.4,3.8
Orthopedics,01-12-2025,414067.68,276397.93,211,59.8,6.1,79.4,3.8
Orthopedics,01-12-2025,414067.68,144876.65,211,59.8,6.1,79.4,3.8
Orthopedics,01-12-2025,414067.68,101245.81,211,59.8,6.1,79.4,3.8
Orthopedics,01-01-2026,1399516.81,660359.58,213,61.5,5.9,83.4,3.5
Orthopedics,01-01-2026,397177.2,324452.51,213,61.5,5.9,83.4,3.5
Orthopedics,01-01-2026,397177.2,257159.81,213,61.5,5.9,83.4,3.5
Orthopedics,01-01-2026,397177.2,146969.01,213,61.5,5.9,83.4,3.5
Orthopedics,01-01-2026,397177.2,110282.74,213,61.5,5.9,83.4,3.5
Orthopedics,01-02-2026,1324158.39,712077.03,215,59.4,5.9,82.6,3.5
Orthopedics,01-02-2026,401509.04,294568.62,215,59.4,5.9,82.6,3.5
Orthopedics,01-02-2026,401509.04,278402.06,215,59.4,5.9,82.6,3.5
Orthopedics,01-02-2026,401509.04,155209.3,215,59.4,5.9,82.6,3.5
Orthopedics,01-02-2026,401509.04,98422.43,215,59.4,5.9,82.6,3.5
Orthopedics,01-03-2026,1275196.5,676436.67,213,60.4,6.2,81,3.7
Orthopedics,01-03-2026,395073.91,315515.51,213,60.4,6.2,81,3.7
Orthopedics,01-03-2026,395073.91,281522.25,213,60.4,6.2,81,3.7
Orthopedics,01-03-2026,395073.91,163968.87,213,60.4,6.2,81,3.7
Orthopedics,01-03-2026,395073.91,99681.39,213,60.4,6.2,81,3.7
Orthopedics,01-04-2026,1250704.1,721968.04,204,61,5.9,78.3,3.8
Orthopedics,01-04-2026,406027.54,288287.52,204,61,5.9,78.3,3.8
Orthopedics,01-04-2026,406027.54,270745.46,204,61,5.9,78.3,3.8
Orthopedics,01-04-2026,406027.54,149765.48,204,61,5.9,78.3,3.8
Orthopedics,01-04-2026,406027.54,102401.11,204,61,5.9,78.3,3.8
Orthopedics,01-05-2026,1391145.16,711102.57,214,60.6,6.2,78.3,4.1
Orthopedics,01-05-2026,398162.77,321515.9,214,60.6,6.2,78.3,4.1
Orthopedics,01-05-2026,398162.77,266412.16,214,60.6,6.2,78.3,4.1
Orthopedics,01-05-2026,398162.77,172213.46,214,60.6,6.2,78.3,4.1
Orthopedics,01-05-2026,398162.77,117633.51,214,60.6,6.2,78.3,4.1
Orthopedics,01-06-2026,1288012.16,760883.26,214,60.9,5.4,82.2,3.6
Orthopedics,01-06-2026,425822.93,319564.49,214,60.9,5.4,82.2,3.6
Orthopedics,01-06-2026,425822.93,275067.42,214,60.9,5.4,82.2,3.6
Orthopedics,01-06-2026,425822.93,157614.43,214,60.9,5.4,82.2,3.6
Orthopedics,01-06-2026,425822.93,104188.45,214,60.9,5.4,82.2,3.6
Orthopedics,01-07-2026,1377444.68,699551.57,200,59.4,6.2,84.2,3.4
Orthopedics,01-07-2026,400216.64,320722.4,200,59.4,6.2,84.2,3.4
Orthopedics,01-07-2026,400216.64,287161.52,200,59.4,6.2,84.2,3.4
Orthopedics,01-07-2026,400216.64,173342.8,200,59.4,6.2,84.2,3.4
Orthopedics,01-07-2026,400216.64,122029.3,200,59.4,6.2,84.2,3.4
Orthopedics,01-08-2026,1263007.86,675287.31,219,60.8,5.8,81.9,4.2
Orthopedics,01-08-2026,405749.44,341497.06,219,60.8,5.8,81.9,4.2
Orthopedics,01-08-2026,405749.44,289528.35,219,60.8,5.8,81.9,4.2
Orthopedics,01-08-2026,405749.44,159909.15,219,60.8,5.8,81.9,4.2
Orthopedics,01-08-2026,405749.44,115597.18,219,60.8,5.8,81.9,4.2
Orthopedics,01-09-2026,1339733.09,710374.66,234,61.3,5.5,78.7,4.1
Orthopedics,01-09-2026,384088.33,298281.07,234,61.3,5.5,78.7,4.1
Orthopedics,01-09-2026,384088.33,304959.62,234,61.3,5.5,78.7,4.1
Orthopedics,01-09-2026,384088.33,147188.46,234,61.3,5.5,78.7,4.1
Orthopedics,01-09-2026,384088.33,104900.13,234,61.3,5.5,78.7,4.1
Pediatrics,01-10-2025,1011301.82,455279.19,255,55.1,3.1,88.2,3.3
Pediatrics,01-10-2025,293997.42,202397.23,255,55.1,3.1,88.2,3.3
Pediatrics,01-10-2025,293997.42,185073.46,255,55.1,3.1,88.2,3.3
Pediatrics,01-10-2025,293997.42,105907.12,255,55.1,3.1,88.2,3.3
Pediatrics,01-10-2025,293997.42,65833.03,255,55.1,3.1,88.2,3.3
Pediatrics,01-11-2025,899536.73,412144.73,267,55.1,3.3,86.9,3.1
Pediatrics,01-11-2025,267370.35,196821.07,267,55.1,3.3,86.9,3.1
Pediatrics,01-11-2025,267370.35,167431.77,267,55.1,3.3,86.9,3.1
Pediatrics,01-11-2025,267370.35,100522.39,267,55.1,3.3,86.9,3.1
Pediatrics,01-11-2025,267370.35,71101.39,267,55.1,3.3,86.9,3.1
Pediatrics,01-12-2025,814199.09,473754.06,276,59.9,3.4,87.8,3.2
Pediatrics,01-12-2025,272324.72,212870.2,276,59.9,3.4,87.8,3.2
Pediatrics,01-12-2025,272324.72,195824.11,276,59.9,3.4,87.8,3.2
Pediatrics,01-12-2025,272324.72,94912.27,276,59.9,3.4,87.8,3.2
Pediatrics,01-12-2025,272324.72,65503.84,276,59.9,3.4,87.8,3.2
Pediatrics,01-01-2026,881610.21,492785.91,268,60.4,3.4,87.8,3.2
Pediatrics,01-01-2026,277214.84,211077.06,268,60.4,3.4,87.8,3.2
Pediatrics,01-01-2026,277214.84,171192.31,268,60.4,3.4,87.8,3.2
Pediatrics,01-01-2026,277214.84,105140.21,268,60.4,3.4,87.8,3.2
Pediatrics,01-01-2026,277214.84,72873.98,268,60.4,3.4,87.8,3.2
Pediatrics,01-02-2026,902747.52,489476.52,273,55.8,3,87.6,2.9
Pediatrics,01-02-2026,272094.02,193509.49,273,55.8,3,87.6,2.9
Pediatrics,01-02-2026,272094.02,199752.26,273,55.8,3,87.6,2.9
Pediatrics,01-02-2026,272094.02,107657.56,273,55.8,3,87.6,2.9
Pediatrics,01-02-2026,272094.02,70337.17,273,55.8,3,87.6,2.9
Pediatrics,01-03-2026,886874.23,450240.8,308,60.4,3,87.6,3.5
Pediatrics,01-03-2026,282189.6,211098.1,308,60.4,3,87.6,3.5
Pediatrics,01-03-2026,282189.6,189203.97,308,60.4,3,87.6,3.5
Pediatrics,01-03-2026,282189.6,93649.44,308,60.4,3,87.6,3.5
Pediatrics,01-03-2026,282189.6,75129.39,308,60.4,3,87.6,3.5
Pediatrics,01-04-2026,926482.98,482906.73,260,57.4,3.1,89.6,3.1
Pediatrics,01-04-2026,288943.18,215505.56,260,57.4,3.1,89.6,3.1
Pediatrics,01-04-2026,288943.18,200885.39,260,57.4,3.1,89.6,3.1
Pediatrics,01-04-2026,288943.18,100046.44,260,57.4,3.1,89.6,3.1
Pediatrics,01-04-2026,288943.18,76292.5,260,57.4,3.1,89.6,3.1
Pediatrics,01-05-2026,977589.6,451037.71,295,55.8,3.2,88.8,3.4
Pediatrics,01-05-2026,287024.68,195043.29,295,55.8,3.2,88.8,3.4
Pediatrics,01-05-2026,287024.68,192552.63,295,55.8,3.2,88.8,3.4
Pediatrics,01-05-2026,287024.68,106633.69,295,55.8,3.2,88.8,3.4
Pediatrics,01-05-2026,287024.68,66203.8,295,55.8,3.2,88.8,3.4
Pediatrics,01-06-2026,989814.97,445352.09,279,59.8,3.1,90.6,3.4
Pediatrics,01-06-2026,297735.82,195204.16,279,59.8,3.1,90.6,3.4
Pediatrics,01-06-2026,297735.82,165642.92,279,59.8,3.1,90.6,3.4
Pediatrics,01-06-2026,297735.82,105117.94,279,59.8,3.1,90.6,3.4
Pediatrics,01-06-2026,297735.82,66123.78,279,59.8,3.1,90.6,3.4
Pediatrics,01-07-2026,979672.81,457098.56,276,58.9,3,91.4,2.9
Pediatrics,01-07-2026,279370.45,215191.59,276,58.9,3,91.4,2.9
Pediatrics,01-07-2026,279370.45,180915.95,276,58.9,3,91.4,2.9
Pediatrics,01-07-2026,279370.45,96070.44,276,58.9,3,91.4,2.9
Pediatrics,01-07-2026,279370.45,78199.35,276,58.9,3,91.4,2.9
Pediatrics,01-08-2026,947009.05,466310.25,282,57.7,3.4,86.2,3.3
Pediatrics,01-08-2026,276558.65,213960.6,282,57.7,3.4,86.2,3.3
Pediatrics,01-08-2026,276558.65,191227.88,282,57.7,3.4,86.2,3.3
Pediatrics,01-08-2026,276558.65,103661.76,282,57.7,3.4,86.2,3.3
Pediatrics,01-08-2026,276558.65,76075.94,282,57.7,3.4,86.2,3.3
Pediatrics,01-09-2026,865898.24,463555.49,276,58.7,3,88.4,3.1
Pediatrics,01-09-2026,277603.64,202499.18,276,58.7,3,88.4,3.1
Pediatrics,01-09-2026,277603.64,179132.06,276,58.7,3,88.4,3.1
Pediatrics,01-09-2026,277603.64,100439.89,276,58.7,3,88.4,3.1
Pediatrics,01-09-2026,277603.64,69127.89,276,58.7,3,88.4,3.1
